character_name,character_speech
nora ,nora  yes  i knew  i saw it in the papers  i assure you  christine  imeant ever so often to write to you at the time  but i always put it offand something always prevented me
mrslinde ,mrslinde  i quite understand  dear
nora ,nora  it was very bad of me  christine  poor thing  how you must havesuffered  and he left you nothing
mrslinde ,mrslinde  no
nora ,nora  and no children
mrslinde ,mrslinde  no
nora ,nora  nothing at all  then
mrslinde ,mrslinde  not even any sorrow or grief to live upon
nora ,nora   but  christine  is that possible
mrs ,mrs  linde   it sometimes happens nora
nora ,nora  so you are quite alone  how dreadfully sad that must be  i havethree lovely children  you can t see them just now  for they are outwith their nurse  but now you must tell me all about it
mrslinde ,mrslinde  no  no  i want to hear about you
nora ,nora  no  you must begin  i mustn t be selfish today  today i must onlythink of your affairs  but there is one thing i must tell you  do youknow we have just had a great piece of good luck
mrslinde ,mrslinde  no  what is it
nora ,nora  just fancy  my husband has been made manager of the bank
mrslinde ,mrslinde  your husband  what good luck
nora ,nora  yes  tremendous  a barrister s profession is such an uncertainthing  especially if he won t undertake unsavoury cases  and naturallytorvald has never been willing to do that  and i quite agree with him you may imagine how pleased we are  he is to take up his work in thebank at the new year  and then he will have a big salary and lots ofcommissions  for the future we can live quite differently  we can dojust as we like  i feel so relieved and so happy  christine  it will besplendid to have heaps of money and not need to have any anxiety  won tit
mrslinde ,mrslinde  yes  anyhow i think it would be delightful to have what oneneeds
nora ,nora  no  not only what one needs  but heaps and heaps of money
mrs ,mrs  linde   nora  nora  haven t you learned sense yet  in ourschooldays you were a great spendthrift
nora ,nora   yes  that is what torvald says now   but  nora  nora  is not so silly as you think  we have not been ina position for me to waste money  we have both had to work
mrslinde ,mrslinde  you too
nora ,nora  yes  odds and ends  needlework  crotchet work  embroidery  andthat kind of thing   and other things as well  youknow torvald left his office when we were married  there was no prospectof promotion there  and he had to try and earn more than before  butduring the first year he over worked himself dreadfully  you see  he hadto make money every way he could  and he worked early and late  but hecouldn t stand it  and fell dreadfully ill  and the doctors said it wasnecessary for him to go south
mrslinde ,mrslinde  you spent a whole year in italy  didn t you
nora ,nora  yes  it was no easy matter to get away  i can tell you  itwas just after ivar was born  but naturally we had to go  it was awonderfully beautiful journey  and it saved torvald s life  but it costa tremendous lot of money  christine
mrslinde ,mrslinde  so i should think
nora ,nora  it cost about two hundred and fifty pounds  that s a lot  isn tit
mrslinde ,mrslinde  yes  and in emergencies like that it is lucky to have themoney
nora ,nora  i ought to tell you that we had it from papa
mrslinde ,mrslinde  oh  i see  it was just about that time that he died  wasn tit
nora ,nora  yes  and  just think of it  i couldn t go and nurse him  i wasexpecting little ivar s birth every day and i had my poor sick torvaldto look after  my dear  kind father  i never saw him again  christine that was the saddest time i have known since our marriage
mrslinde ,mrslinde  i know how fond you were of him  and then you went off toitaly
nora ,nora  yes  you see we had money then  and the doctors insisted on ourgoing  so we started a month later
mrslinde ,mrslinde  and your husband came back quite well
nora ,nora  as sound as a bell
mrslinde ,mrslinde  but  the doctor
nora ,nora  what doctor
mrslinde ,mrslinde  i thought your maid said the gentleman who arrived here justas i did  was the doctor
nora ,nora  yes  that was doctor rank  but he doesn t come hereprofessionally  he is our greatest friend  and comes in at least onceevery day  no  torvald has not had an hour s illness since then  and ourchildren are strong and healthy and so am i   christine  christine  it s good to be alive and happy   but howhorrid of me  i am talking of nothing but my own affairs   you mustn t be angrywith me  tell me  is it really true that you did not love your husband why did you marry him
mrslinde ,mrslinde  my mother was alive then  and was bedridden and helpless and i had to provide for my two younger brothers  so i did not think iwas justified in refusing his offer
nora ,nora  no  perhaps you were quite right  he was rich at that time  then
mrslinde ,mrslinde  i believe he was quite well off  but his business was aprecarious one  and  when he died  it all went to pieces and there wasnothing left
nora ,nora  and then
mrslinde ,mrslinde  well  i had to turn my hand to anything i could find  firsta small shop  then a small school  and so on  the last three years haveseemed like one long working day  with no rest  now it is at an end nora  my poor mother needs me no more  for she is gone  and the boysdo not need me either  they have got situations and can shift forthemselves
nora ,nora  what a relief you must feel if
mrslinde ,mrslinde  no  indeed  i only feel my life unspeakably empty  no one tolive for anymore   that was why i could not standthe life in my little backwater any longer  i hope it may be easier hereto find something which will busy me and occupy my thoughts  if only icould have the good luck to get some regular work  office work of somekind
nora ,nora  but  christine  that is so frightfully tiring  and you look tiredout now  you had far better go away to some watering place
mrs ,mrs  linde   i have no father to give me moneyfor a journey  nora
nora ,nora   oh  don t be angry with me
mrs ,mrs  linde   it is you that must not be angry with me dear  the worst of a position like mine is that it makes one so bitter no one to work for  and yet obliged to be always on the lookout forchances  one must live  and so one becomes selfish  when you told me ofthe happy turn your fortunes have taken  you will hardly believe it  iwas delighted not so much on your account as on my own
nora ,nora  how do you mean   oh  i understand  you mean that perhaps torvaldcould get you something to do
mrslinde ,mrslinde  yes  that was what i was thinking of
nora ,nora  he must  christine  just leave it to me  i will broach the subjectvery cleverly  i will think of something that will please him very much it will make me so happy to be of some use to you
mrslinde ,mrslinde  how kind you are  nora  to be so anxious to help me  it isdoubly kind in you  for you know so little of the burdens and troublesof life
nora ,nora  i    i know so little of them
mrs ,mrs  linde   my dear  small household cares and that sort ofthing   you are a child  nora
nora ,nora   you ought not to be sosuperior
mrslinde ,mrslinde  no
nora ,nora  you are just like the others  they all think that i am incapableof anything really serious
mrslinde ,mrslinde  come  come
nora ,nora   that i have gone through nothing in this world of cares
mrslinde ,mrslinde  but  my dear nora  you have just told me all your troubles
nora ,nora  pooh   those were trifles   i have not toldyou the important thing
mrslinde ,mrslinde  the important thing  what do you mean
nora ,nora  you look down upon me altogether  christine  but you ought not to you are proud  aren t you  of having worked so hard and so long for yourmother
mrslinde ,mrslinde  indeed  i don t look down on anyone  but it is true that iam both proud and glad to think that i was privileged to make the end ofmy mother s life almost free from care
nora ,nora  and you are proud to think of what you have done for yourbrothers
mrslinde ,mrslinde  i think i have the right to be
nora ,nora  i think so  too  but now  listen to this  i too have something tobe proud and glad of
mrslinde ,mrslinde  i have no doubt you have  but what do you refer to
nora ,nora  speak low  suppose torvald were to hear  he mustn t on anyaccount  no one in the world must know  christine  except you
mrslinde ,mrslinde  but what is it
nora ,nora  come here   now i willshow you that i too have something to be proud and glad of  it was i whosaved torvald s life
mrslinde ,mrslinde   saved   how
nora ,nora  i told you about our trip to italy  torvald would never haverecovered if he had not gone there
mrslinde ,mrslinde  yes  but your father gave you the necessary funds
nora ,nora   yes  that is what torvald and all the others think but
mrslinde ,mrslinde  but
nora ,nora  papa didn t give us a shilling  it was i who procured the money
mrslinde ,mrslinde  you  all that large sum
nora ,nora  two hundred and fifty pounds  what do you think of that
mrslinde ,mrslinde  but  nora  how could you possibly do it  did you win a prizein the lottery
nora ,nora   in the lottery  there would have been no creditin that
mrslinde ,mrslinde  but where did you get it from  then  nora   hm  hm  aha
mrslinde ,mrslinde  because you couldn t have borrowed it
nora ,nora  couldn t i  why not
mrslinde ,mrslinde  no  a wife cannot borrow without her husband s consent
nora ,nora   oh  if it is a wife who has any head forbusiness  a wife who has the wit to be a little bit clever
mrslinde ,mrslinde  i don t understand it at all  nora
nora ,nora  there is no need you should  i never said i had borrowed themoney  i may have got it some other way  perhaps i got it from some other admirer  when anyone is as attractiveas i am
mrslinde ,mrslinde  you are a mad creature
nora ,nora  now  you know you re full of curiosity  christine
mrslinde ,mrslinde  listen to me  nora dear  haven t you been a little bitimprudent
nora ,nora   is it imprudent to save your husband s life
mrslinde ,mrslinde  it seems to me imprudent  without his knowledge  to
nora ,nora  but it was absolutely necessary that he should not know  mygoodness  can t you understand that  it was necessary he should have noidea what a dangerous condition he was in  it was to me that the doctorscame and said that his life was in danger  and that the only thing tosave him was to live in the south  do you suppose i didn t try  first ofall  to get what i wanted as if it were for myself  i told him how muchi should love to travel abroad like other young wives  i tried tears andentreaties with him  i told him that he ought to remember the conditioni was in  and that he ought to be kind and indulgent to me  i evenhinted that he might raise a loan  that nearly made him angry christine  he said i was thoughtless  and that it was his duty as myhusband not to indulge me in my whims and caprices  as i believe hecalled them  very well  i thought  you must be saved  and that was how icame to devise a way out of the difficulty
mrslinde ,mrslinde  and did your husband never get to know from your father thatthe money had not come from him
nora ,nora  no  never  papa died just at that time  i had meant to let himinto the secret and beg him never to reveal it  but he was so illthen  alas  there never was any need to tell him
mrslinde ,mrslinde  and since then have you never told your secret to yourhusband
nora ,nora  good heavens  no  how could you think so  a man who has suchstrong opinions about these things  and besides  how painful andhumiliating it would be for torvald  with his manly independence  toknow that he owed me anything  it would upset our mutual relationsaltogether  our beautiful happy home would no longer be what it is now
mrslinde ,mrslinde  do you mean never to tell him about it
nora ,nora   yes  someday  perhaps  aftermany years  when i am no longer as nice looking as i am now  don t laughat me  i mean  of course  when torvald is no longer as devoted to me ashe is now  when my dancing and dressing up and reciting have palled onhim  then it may be a good thing to have something in reserve   what nonsense  that time will never come  now  what do you thinkof my great secret  christine  do you still think i am of no use  i cantell you  too  that this affair has caused me a lot of worry  it hasbeen by no means easy for me to meet my engagements punctually  i maytell you that there is something that is called  in business  quarterlyinterest  and another thing called payment in installments  and it isalways so dreadfully difficult to manage them  i have had to save alittle here and there  where i could  you understand  i have not beenable to put aside much from my housekeeping money  for torvald must havea good table  i couldn t let my children be shabbily dressed  i havefelt obliged to use up all he gave me for them  the sweet littledarlings
mrslinde ,mrslinde  so it has all had to come out of your own necessaries oflife  poor nora
nora ,nora  of course  besides  i was the one responsible for it  whenevertorvald has given me money for new dresses and such things  i havenever spent more than half of it  i have always bought the simplestand cheapest things  thank heaven  any clothes look well on me  andso torvald has never noticed it  but it was often very hard on me christine  because it is delightful to be really well dressed  isn t it
mrslinde ,mrslinde  quite so
nora ,nora  well  then i have found other ways of earning money  last winteri was lucky enough to get a lot of copying to do  so i locked myself upand sat writing every evening until quite late at night  many a time iwas desperately tired  but all the same it was a tremendous pleasure tosit there working and earning money  it was like being a man
mrslinde ,mrslinde  how much have you been able to pay off in that way
nora ,nora  i can t tell you exactly  you see  it is very difficult to keep anaccount of a business matter of that kind  i only know that i have paidevery penny that i could scrape together  many a time i was at my wits end   then i used to sit here and imagine that a rich oldgentleman had fallen in love with me
mrslinde ,mrslinde  what  who was it
nora ,nora  be quiet   that he had died  and that when his will was openedit contained  written in big letters  the instruction   the lovely mrs nora helmer is to have all i possess paid over to her at once in cash
mrslinde ,mrslinde  but  my dear nora  who could the man be
nora ,nora  good gracious  can t you understand  there was no old gentleman atall  it was only something that i used to sit here and imagine  when icouldn t think of any way of procuring money  but it s all the same now the tiresome old person can stay where he is  as far as i am concerned i don t care about him or his will either  for i am free from care now  my goodness  it s delightful to think of  christine  freefrom care  to be able to be free from care  quite free from care  to beable to play and romp with the children  to be able to keep the housebeautifully and have everything just as torvald likes it  and  think ofit  soon the spring will come and the big blue sky  perhaps we shall beable to take a little trip  perhaps i shall see the sea again  oh  it sa wonderful thing to be alive and be happy
mrs ,mrs  linde   there is the bell  perhaps i had better go
nora ,nora  no  don t go  no one will come in here  it is sure to be fortorvald
servant ,servant   excuse me  ma am  there is a gentleman tosee the master  and as the doctor is with him
nora ,nora  who is it
krogstad ,krogstad   it is i  mrs  helmer
nora ,nora  you  what is it  what do you want to see my husband about
krogstad ,krogstad  bank business  in a way  i have a small post in the bank  andi hear your husband is to be our chief now
nora ,nora  then it is
krogstad ,krogstad  nothing but dry business matters  mrs  helmer  absolutelynothing else
nora ,nora  be so good as to go into the study  then
mrslinde ,mrslinde  nora  who was that man
nora ,nora  a lawyer  of the name of krogstad
mrslinde ,mrslinde  then it really was he
nora ,nora  do you know the man
mrslinde ,mrslinde  i used to  many years ago  at one time he was a solicitor sclerk in our town
nora ,nora  yes  he was
mrslinde ,mrslinde  he is greatly altered
nora ,nora  he made a very unhappy marriage
mrslinde ,mrslinde  he is a widower now  isn t he
nora ,nora  with several children  there now  it is burning up
mrslinde ,mrslinde  they say he carries on various kinds of business
nora ,nora  really  perhaps he does  i don t know anything about it  but don tlet us think of business  it is so tiresome
doctor ,doctor rank   no  my dear fellow  i won t disturb you  i would rathergo in to your wife for a little while   i beg your pardon  i am afraid i am disturbing you too
nora ,nora  no  not at all    doctor rank  mrs  linde
rank ,rank  i have often heard mrs  linde s name mentioned here  i think ipassed you on the stairs when i arrived  mrs  linde
mrslinde ,mrslinde  yes  i go up very slowly  i can t manage stairs well
rank ,rank  ah  some slight internal weakness
mrslinde ,mrslinde  no  the fact is i have been overworking myself
rank ,rank  nothing more than that  then i suppose you have come to town toamuse yourself with our entertainments
mrslinde ,mrslinde  i have come to look for work
rank ,rank  is that a good cure for overwork
mrslinde ,mrslinde  one must live  doctor rank
rank ,rank  yes  the general opinion seems to be that it is necessary
nora ,nora  look here  doctor rank  you know you want to live
rank ,rank  certainly  however wretched i may feel  i want to prolong theagony as long as possible  all my patients are like that  and so arethose who are morally diseased  one of them  and a bad case too  is atthis very moment with helmer
mrs ,mrs  linde   ah
nora ,nora  whom do you mean
rank ,rank  a lawyer of the name of krogstad  a fellow you don t know at all he suffers from a diseased moral character  mrs  helmer  but even hebegan talking of its being highly important that he should live
nora ,nora  did he  what did he want to speak to torvald about
rank ,rank  i have no idea  i only heard that it was something about the bank
nora ,nora  i didn t know this  what s his name  krogstad had anything to dowith the bank
rank ,rank  yes  he has some sort of appointment there   idon t know whether you find also in your part of the world that thereare certain people who go zealously snuffing about to smell out moralcorruption  and  as soon as they have found some  put the personconcerned into some lucrative position where they can keep their eye onhim  healthy natures are left out in the cold
mrslinde ,mrslinde  still i think the sick are those who most need taking careof
rank ,rank   yes  there you are  that is thesentiment that is turning society into a sick house
rank ,rank  why do you laugh at that  have you any notion what society reallyis
nora ,nora  what do i care about tiresome society  i am laughing at somethingquite different  something extremely amusing  tell me  doctor rank  areall the people who are employed in the bank dependent on torvald now
rank ,rank  is that what you find so extremely amusing
nora ,nora   that s my affair  it s perfectly glorious to think that we have  that torvald has so muchpower over so many people   doctorrank  what do you say to a macaroon
rank ,rank  what  macaroons  i thought they were forbidden here
nora ,nora  yes  but these are some christine gave me
mrslinde ,mrslinde  what  i
nora ,nora  oh  well  don t be alarmed  you couldn t know that torvald hadforbidden them  i must tell you that he is afraid they will spoil myteeth  but  bah   once in a way  that s so  isn t it  doctor rank  byyour leave   you must have one too christine  and i shall have one  just a little one  or at most two  i am tremendously happy  there is just one thing in theworld now that i should dearly love to do
rank ,rank  well  what is that
nora ,nora  it s something i should dearly love to say  if torvald could hearme
rank ,rank  well  why can t you say it
nora ,nora  no  i daren t  it s so shocking
mrslinde ,mrslinde  shocking
rank ,rank  well  i should not advise you to say it  still  with us you might what is it you would so much like to say if torvald could hear you
nora ,nora  i should just love to say  well  i m damned
rank ,rank  are you mad
mrslinde ,mrslinde  nora  dear
rank ,rank  say it  here he is
nora ,nora   hush  hush  hush
nora ,nora  well  torvald dear  have you got rid of him
helmer ,helmer  yes  he has just gone
nora ,nora  let me introduce you  this is christine  who has come to town
helmer ,helmer  christine    excuse me  but i don t know
nora ,nora  mrs  linde  dear  christine linde
helmer ,helmer  of course  a school friend of my wife s  i presume
mrslinde ,mrslinde  yes  we have known each other since then
nora ,nora  and just think  she has taken a long journey in order to see you
helmer ,helmer  what do you mean  mrs  linde  no  really  i
nora ,nora  christine is tremendously clever at book keeping  and she isfrightfully anxious to work under some clever man  so as to perfectherself
helmer ,helmer  very sensible  mrs  linde
nora ,nora  and when she heard you had been appointed manager of the bank  thenews was telegraphed  you know  she travelled here as quick asshe could  torvald  i am sure you will be able to do something forchristine  for my sake  won t you
helmer ,helmer  well  it is not altogether impossible  i presume you are awidow  mrs  linde
mrslinde ,mrslinde  yes
helmer ,helmer  and have had some experience of book keeping
mrslinde ,mrslinde  yes  a fair amount
helmer ,helmer  ah  well  it s very likely i may be able to find something foryou
nora ,nora   what did i tell you  what did i tell you
helmer ,helmer  you have just come at a fortunate moment  mrs  linde
mrslinde ,mrslinde  how am i to thank you
helmer ,helmer  there is no need   but today you must excuseme
rank ,rank  wait a minute  i will come with you
nora ,nora  don t be long away  torvald dear
helmer ,helmer  about an hour  not more
nora ,nora  are you going too  christine
mrs ,mrs  linde   yes  i must go and look for a room
helmer ,helmer  oh  well then  we can walk down the street together
nora ,nora   what a pity it is we are so short of space here  iam afraid it is impossible for us
mrslinde ,mrslinde  please don t think of it  goodbye  nora dear  and manythanks
nora ,nora  goodbye for the present  of course you will come back thisevening  and you too  dr  rank  what do you say  if you are well enough oh  you must be  wrap yourself up well
nora ,nora  there they are  there they are   come in  come in   oh  you sweet blessings  look at them  christine  aren t theydarlings
rank ,rank  don t let us stand here in the draught
helmer ,helmer  come along  mrs  linde  the place will only be bearable for amother now
nora ,nora  how fresh and well you look  such red cheeks like apples androses   haveyou had great fun  that s splendid  what  you pulled both emmy and bobalong on the sledge   both at once   that was good  you are a cleverboy  ivar  let me take her for a little  anne  my sweet little babydoll   yes yes  mother will dance with bob too  what  have you been snowballing  iwish i had been there too  no  no  i will take their things off  anne please let me do it  it is such fun  go in now  you look half frozen there is some hot coffee for you on the stove
nora ,nora  really  did a big dog run after you  but it didn t bite you  no dogs don t bite nice little dolly children  you mustn t look at theparcels  ivar  what are they  ah  i daresay you would like to know  no no  it s something nasty  come  let us have a game  what shall we playat  hide and seek  yes  we ll play hide and seek  bob shall hide first must i hide  very well  i ll hide first
krogstad ,krogstad  excuse me  mrs  helmer
nora ,nora   ah what do you want
krogstad ,krogstad  excuse me  the outer door was ajar  i suppose someone forgotto shut it
nora ,nora   my husband is out  mr  krogstad
krogstad ,krogstad  i know that
nora ,nora  what do you want here  then
krogstad ,krogstad  a word with you
nora ,nora  with me    go in to nurse  what  no the strange man won t do mother any harm  when he has gone we will haveanother game   you want to speak to me
krogstad ,krogstad  yes  i do
nora ,nora  today  it is not the first of the month yet
krogstad ,krogstad  no  it is christmas eve  and it will depend on yourself whatsort of a christmas you will spend
nora ,nora  what do you mean  today it is absolutely impossible for me
krogstad ,krogstad  we won t talk about that until later on  this is somethingdifferent  i presume you can give me a moment
nora ,nora  yes  yes  i can  although
krogstad ,krogstad  good  i was in olsen s restaurant and saw your husband goingdown the street
nora ,nora  yes
krogstad ,krogstad  with a lady
nora ,nora  what then
krogstad ,krogstad  may i make so bold as to ask if it was a mrs  linde
nora ,nora  it was
krogstad ,krogstad  just arrived in town
nora ,nora  yes  today
krogstad ,krogstad  she is a great friend of yours  isn t she
nora ,nora  she is  but i don t see
krogstad ,krogstad  i knew her too  once upon a time
nora ,nora  i am aware of that
krogstad ,krogstad  are you  so you know all about it  i thought as much  then ican ask you  without beating about the bush  is mrs  linde to have anappointment in the bank
nora ,nora  what right have you to question me  mr  krogstad   you  one ofmy husband s subordinates  but since you ask  you shall know  yes  mrs linde is to have an appointment  and it was i who pleaded her cause  mr krogstad  let me tell you that
krogstad ,krogstad  i was right in what i thought  then
nora ,nora   sometimes one has a tiny littlebit of influence  i should hope  because one is a woman  it does notnecessarily follow that    when anyone is in a subordinate position mr  krogstad  they should really be careful to avoid offending anyonewho  who
krogstad ,krogstad  who has influence
nora ,nora  exactly
krogstad ,krogstad   mrs  helmer  you will be so good as to useyour influence on my behalf
nora ,nora  what  what do you mean
krogstad ,krogstad  you will be so kind as to see that i am allowed to keep mysubordinate position in the bank
nora ,nora  what do you mean by that  who proposes to take your post away fromyou
krogstad ,krogstad  oh  there is no necessity to keep up the pretence ofignorance  i can quite understand that your friend is not very anxiousto expose herself to the chance of rubbing shoulders with me  and iquite understand  too  whom i have to thank for being turned off
nora ,nora  but i assure you
krogstad ,krogstad  very likely  but  to come to the point  the time has come wheni should advise you to use your influence to prevent that
nora ,nora  but  mr  krogstad  i have no influence
krogstad ,krogstad  haven t you  i thought you said yourself just now
nora ,nora  naturally i did not mean you to put that construction on it  i what should make you think i have any influence of that kind with myhusband
krogstad ,krogstad  oh  i have known your husband from our student days  i don tsuppose he is any more unassailable than other husbands
nora ,nora  if you speak slightingly of my husband  i shall turn you out ofthe house
krogstad ,krogstad  you are bold  mrs  helmer
nora ,nora  i am not afraid of you any longer  as soon as the new year comes i shall in a very short time be free of the whole thing
krogstad ,krogstad   listen to me  mrs  helmer  if necessary i am prepared to fight for my small post in the bank as if i werefighting for my life
nora ,nora  so it seems
krogstad ,krogstad  it is not only for the sake of the money  indeed  that weighsleast with me in the matter  there is another reason  well  i may aswell tell you  my position is this  i daresay you know  like everybodyelse  that once  many years ago  i was guilty of an indiscretion
nora ,nora  i think i have heard something of the kind
krogstad ,krogstad  the matter never came into court  but every way seemed to beclosed to me after that  so i took to the business that you know of  ihad to do something  and  honestly  i don t think i ve been one of theworst  but now i must cut myself free from all that  my sons are growingup  for their sake i must try and win back as much respect as i can inthe town  this post in the bank was like the first step up for me  andnow your husband is going to kick me downstairs again into the mud
nora ,nora  but you must believe me  mr  krogstad  it is not in my power tohelp you at all
