character_name,character_speech
not-nora,helmer  ja  det var et sandt ord  alt hvad du kan   men du kan slet ikke 
nora ,nora  hm  du skulde bare vide  hvor mange ud  gifter vi laerker og ekorne har  torvald 
not-nora,helmer du er en besynderlig liden en  ganske som din fader var  du er om dig pa alle kanter for at goere udvej til penge  men sa snart du har dem  blir de ligesom borte mellem haenderne pa dig  du ved aldrig  hvor du goer af dem  na  man ma tage dig som du er  det ligger i blo  det  jo  jo  jo  sligt er arveligt  nora 
nora ,nora ak  jeg vilde oenske  jeg havde arvet mange af pappas egenskaber 
not-nora,helmer og jeg vilde ikke oenske dig anderledes  end netop saledes  som du er  min soede lille sang  laerke  men hoer  der falder mig noget ind  du ser sa - sa - hvad skal jeg kalde det  - sa fordaegtig ud idag -
nora ,nora goer jeg 
not-nora,helmer ja visst goer du det  se mig stivt i oejnene 
nora ,nora  na 
not-nora,helmer  slikmunden skulde vel aldrig have grasseret i byen idag 
nora ,nora nej  hvor kan du nu falde pa det 
not-nora,helmer har slikmunden virkelig ikke gjort en af  stikker ind til konditoren 
nora ,nora nej  jeg forsikrer dig  torvald -
not-nora,helmer ikke nippet lidt syltetoej 
nora ,nora nej  aldeles ikke 
not-nora,helmer ikke engang gnavet en makron eller to 
nora ,nora nej  torvald  jeg forsikrer dig virkelig -
not-nora,helmer na  na  na  det er jo naturligvis bare mit spoeg -
nora ,nora  jeg kunde da ikke falde pa at goere dig imod 
not-nora,helmer nej  jeg ved det jo nok  og du har jo givet mig dit ord -   na  behold du dine sma julehemmeligheder for dig selv  min velsig  nede nora  de kommer vel for lyset iaften  nar juletraeet er taendt  kan jeg tro 
nora ,nora har du husket pa at bede doktor rank 
not-nora,helmer nej  men det behoeves jo ikke  det foelger jo af sig selv  at han spiser med os  forresten skal jeg bede ham  nar han kommer her iformiddag  god vin har jeg bestilt  nora  du kan ikke tro  hvor jeg glaeder mig til iaften 
nora ,nora jeg ogsa  og hvor boernene vil fryde sig  torvald 
not-nora,helmer ak  det er dog herligt at taenke pa  at man har fat en sikker  betrygget stilling  at man har sit rundelige udkomme  ikke sandt  det er en stor nydelse at taenke pa 
nora ,nora a   det er vidunderligt 
not-nora,helmer kan du huske forrige jul  hele tre uger i forvejen lukked du dig hver aften inde til langt over midnat for at lave blomster til juletraeet og alle de andre herligheder   som vi skulde over  raskes med  uh  det var den kedeligste tid  jeg har oplevet 
nora ,nora da keded jeg mig slet ikke 
not-nora,helmer  men det faldt dog temmelig tarveligt ud  nora 
nora ,nora a  skal du nu drille mig med det igen  hvad kunde jeg for  at katten var kommen ind og havde revet alting istykker 
not-nora,helmer nej visst kunde du ikke  min stakkers lille nora  du havde den bedste vilje til at glaede os alle  og det er hovedsagen  men det er dog godt  at de knebne tider er forbi 
nora ,nora ja  det er rigtignok vidunderligt 
not-nora,helmer nu behoever ikke jeg at sidde her alene og kede mig  og du behoever ikke at plage dine vel  signede oejne og dine sma skaere fine haender -
nora ,nora  nej  ikke sandt  torvald  det behoeves ikke laenger  a  hvor det er vidunderlig dejligt at hoere   nu skal jeg sige dig  hvorledes jeg havde taenkt  vi skulde indrette os  torvald  sa snart julen er over -  a  der ringer det   her kommer visst nogen  det var da kedeligt 
not-nora,helmer for visiter er jeg ikke hjemme  husk det 
stuepigen ,stuepigen  frue  her er en fremmed dame -
nora ,nora ja  lad hende komme ind 
stuepigen ,stuepigen  og sa kom doktoren med det samme 
not-nora,helmer gik han lige ind til mig 
stuepigen ,stuepigen ja  han gjorde sa 
not-nora,fru linde  goddag  nora 
nora ,nora  goddag -
not-nora,frulinde du kender mig nok ikke igen 
nora ,nora nej  jeg ved ikke -  jo visst  jeg synes nok -  hvad  kristine  er det virkelig dig 
not-nora,frulinde ja  det er mig 
nora ,nora kristine  og jeg  som ikke kendte dig igen  men hvor kunde jeg ogsa -   hvor du er bleven forandret  kristine 
not-nora,frulinde ja  det er jeg visstnok  i ni-ti lange ar -
nora ,nora er det sa laenge siden vi saes  ja  det er det jo ogsa  a  de sidste otte ar har vaeret en lykkelig tid  kan du tro  og nu er du altsa kommen herind til byen  gjort den lange rejse ved vintertid  det var tappert 
not-nora,frulinde jeg kom netop med dampskibet imorges 
nora ,nora for at more dig i julen  naturligvis  a  hvor det er dejligt  ja  more os  det skal virigtignok  men tag dog overtoejet af  du fryser dog vel ikke   se sa  nu saetter vi os hyggeligt her ved ovnen  nej  i laenestolen der  her i gyngestolen vil jeg sidde   ja  nu har du jo dit gamle ansigt igen  det var bare i det foerste oejeblik -  lidt blegere er du dog bleven  kristine  - og kanske lidt magrere 
not-nora,frulinde og meget  meget aeldre  nora 
nora ,nora ja  kanske lidt aeldre  bitte  bitte lidt  slet ikke meget   a  men jeg tankeloese menneske  som sidder her og snakker  soede  velsignede kristine  kan du tilgive mig 
not-nora,frulinde hvad mener du  nora 
nora ,nora  stakkers kristine  du er jo bleven enke 
not-nora,frulinde ja  for tre ar siden 
nora ,nora a  jeg vidste det jo nok  jeg laeste det jo i aviserne  a  kristine  du ma tro mig  jeg taenkte ofte pa at skrive dig til i den tid  men altid op  satte jeg det  og altid kom der noget ivejen 
not-nora,frulinde kaere nora  det forstar jeg sa godt 
nora ,nora nej  det var stygt af mig  kristine  a  du stakker  hvor meget du visst har gaet igennem  - og han efterlod dig jo ikke noget at leve af 
not-nora,frulinde nej 
nora ,nora og ingen boern 
not-nora,frulinde nej 
nora ,nora slet ingen ting altsa 
not-nora,frulinde ikke engang en sorg eller et savn til at taere pa 
nora ,nora  ja men  kristine  hvor kan det vaere muligt 
not-nora,fru linde  a  det haender undertiden  nora 
nora ,nora sa ganske alene  hvor det ma vaere for  faerdelig tungt for dig  jeg har tre dejlige boern  ja nu kan du ikke fa se dem  for de er ude med pigen  men nu ma du fortaelle mig alt -
not-nora,frulinde nej  nej  nej  fortael heller du 
nora ,nora nej  du skal begynde  idag vil jeg ikke vaere egenkaerlig  idag vil jeg taenke bare pa dine sager  men et ma jeg dog sige dig  ved du den store lykke  som er haendt os i disse dage 
not-nora,frulinde nej  hvad er det 
nora ,nora taenk  min mand er bleven direktoer i aktie  banken 
not-nora,frulinde din mand  a hvilket held - 
nora ,nora ja  umadeligt  at vaere advokat  det er jo sa usikkert at leve af  isaer nar man ikke vil be  fatte sig med andre forretninger  end de  som er fine og smukke  og det har naturligvis torvald aldrig villet  og det holder jeg da ganske med ham i  a  du kan tro  vi glaeder os  han skal tiltraede i banken allerede til nytar  og da far han en stor gage og mange procenter  herefter kan vi leve ganske anderledes end foer  - ganske som vi vil  a  kristine  hvor jeg foeler mig let og lykkelig  ja  for det er dog dejligt at have dygtig mange penge og ikke behoeve at goere sig bekymringer  ikke sandt 
not-nora,frulinde jo  ialfald matte det vaere dejligt at have det noedvendige 
nora ,nora nej  ikke blot det noedvendige  men dygtig  dygtig mange penge 
not-nora,fru linde  nora  nora  er du endnu ikke bleven for  nuftig  i skoledagene var du en stor oedeland 
nora ,nora  ja  det siger torvald endnu   men <<nora  nora>> er ikke sa gal  som i taenker  - a  vi har sandelig ikke havt det sa  at jeg har kunnet oedsle  vi har mattet arbejde begge to 
not-nora,frulinde du ogsa 
nora ,nora ja  med smating  med handarbejde  med haekling og med broderi og sadant noget   og med andre ting ogsa  du ved vel  at torvald gik ud af departementet  da vi blev gift  der var ingen udsigt til befordring i hans kontor  og sa matte han jo tjene flere penge end foer  men i det foerste ar overanstraengte han sig sa aldeles forfaerdeligt  han matte jo soege alskens bifortjeneste  kan du vel taenke dig  og arbejdebade tidligt og sent  men det talte han ikke  og sa blev han sa doedelig syg  sa erklaerte laegerne det for noedvendigt  at han kom ned til syden 
not-nora,frulinde ja  i opholdt jer jo et helt ar i italien 
nora ,nora ja visst  det var ikke let at komme afsted  kan du tro  ivar var netop foedt dengang  men afsted matte vi naturligvis  a  det var en vid  underlig dejlig rejse  og den frelste torvalds liv  men den kosted svaert mange penge  kristine 
not-nora,frulinde det kan jeg nok taenke mig 
nora ,nora tolv hundrede specier kosted den  fire tusend otte hundrede kroner  det er mange penge du 
not-nora,frulinde ja  men i slige tilfaelde er det ialfald en stor lykke  at man har dem 
nora ,nora ja jeg skal sige dig  vi fik dem nu af pappa 
not-nora,frulinde na sadan  det var netop pa den tid din fader doede  tror jeg 
nora ,nora ja  kristine  det var netop da  og taenk dig  jeg kunde ikke rejse til ham og pleje ham  jeg gik jo her og vented daglig  at lille ivar skulde komme til verden  og sa havde jeg jo min stakkers doedssyge torvald at passe  min kaere snille pappa  jeg fik aldrig se ham mere  kristine  a  det er det tungeste  jeg har oplevet  siden jeg blev gift 
not-nora,frulinde jeg ved   du holdt meget af ham  men sa rejste i altsa til italien 
nora ,nora ja  da havde vi jo pengene  og laegerne skyndte pa os  sa rejste vi en maneds tid efter 
not-nora,frulinde og din mand kom aldeles helbredet tilbage 
nora ,nora frisk som en fisk 
not-nora,frulinde men - doktoren 
nora ,nora hvorledes 
not-nora,frulinde jeg synes  pigen sagde det var doktoren  den herre  som kom pa samme tid som jeg 
nora ,nora ja  det var doktor rank  men han kommer ikke i sygebesoeg  det er vor naermeste ven  og han ser her indom mindst engang om dagen  nej  torvald har aldrig havt en syg time siden  og boernene er friske og sunde  og jeg ogsa   a gud  a gud  kri  stine  det er dog vidunderlig dejligt at leve og vaere lykkelig  - - a  men det er dog afsky  ligt af mig -  jeg taler jo bare om mine egne sager   a  du ma ikke vaere vred pa mig  - sig mig  er det virkelig sandt  at du ikke holdt af din mand  hvorfor tog du ham da 
not-nora,frulinde min moder leved endnu  og hun var senge  liggende og hjaelpeloes  og sa havde jeg mine to yngre broedre at soerge for  jeg syntes ikke det var forsvarligt at vise hans tilbud tilbage 
nora ,nora nej  nej  det kan du have ret i  han var altsa rig dengang 
not-nora,frulinde han var ganske velstaende  tror jeg  men det var usikre forretninger  nora  da han doede  gik det hele overstyr og der blev ingenting til  overs 
nora ,nora og sa - 
not-nora,frulinde ja  sa matte jeg sla mig igennem med en liden handel og en liden skole og hvad jeg ellers kunde finde pa  de sidste tre ar har vaeret som en eneste lang hvileloes arbejdsdag for mig  nu er den tilende  nora  min stakkers moder be  hoever mig ikke mere  for hun er gaet bort  og gutterne heller ikke  de er nu kommet i stillinger og kan soerge for sig selv 
nora ,nora hvor du ma foele dig let -
not-nora,frulinde nej  du  bare sa usigelig tom  ingen at leve for mere   derfor holdt jeg det ikke laengere ud derborte i den lille afkrog  her ma det dog vaere lettere at finde noget  som kan laegge beslag pa en og optage ens tanker  kunde jeg bare vaere sa lykkelig at fa en fast post  noget kontorarbejde -
nora ,nora a men  kristine  det er sa forfaerdelig an  straengende  og du ser allerede sa anstraengt ud iforvejen  det vilde vaere meget bedre for dig  om du kunde komme til et bad 
not-nora,fru linde  jeg har ingen pappa  som kan foraere mig rejsepenge  nora 
nora ,nora  a  vaer ikke vred pa mig 
not-nora,fru linde  kaere nora  vaer ikke du vred pa mig  det er det vaerste ved en stilling som min  at den af  saetter sa megen bitterhed i sindet  man har ingen at arbejde for  og dog noedes man til at vaere om sig pa alle kanter  leve skal man jo  og sa blir man egenkaerlig  da du fortalte mig om den lykkelige forandring i eders stilling - vil du tro det  - jeg glaedede mig ikke sa meget pa dine vegne  som pa mine 
nora ,nora hvorledes det  a  jeg forstar dig  du mener  torvald kunde kanske goere noget for dig 
not-nora,frulinde ja  det taenkte jeg mig 
nora ,nora det skal han ogsa  kristine  overlad det bare til mig  jeg skal indlede det sa fint  sa fint  - finde pa noget elskvaerdigt  som han synes rigtig godt om  a  jeg vil sa inderlig gerne vaere dig til tjeneste 
not-nora,frulinde hvor det er smukt af dig  nora  at du er sa ivrig for min sag  - dobbelt smukt af dig som selv kender sa lidet til livets byrder og besvaer 
nora ,nora jeg -  jeg kender sa lidet til - 
not-nora,fru linde  na  herregud  den smule handarbejde og sadant noget -  du er et barn  nora 
nora ,nora  det skulde du ikke sige sa overlegent 
not-nora,frulinde sa 
nora ,nora du er ligesom de andre  i tror allesammen  at jeg ikke duer til noget rigtig alvorligt -
not-nora,frulinde na  na -
nora ,nora - at jeg ikke har proevet noget i denne vanskelige verden 
not-nora,frulinde kaere nora  du har jo nys fortalt mig alle dine genvordigheder 
nora ,nora pyt  - de smatterier   jeg har ikke fortalt dig det store 
not-nora,frulinde hvilket store  hvad mener du 
nora ,nora du overser mig sa ganske  kristine  men det skulde du ikke goere  du er stolt over  at du har arbejdet sa tungt og sa laenge for din moder 
not-nora,frulinde jeg overser visselig ikke nogen  men det er sandt  jeg er bade stolt og glad  nar jeg taen  ker pa  at det blev mig forundt at goere min mo  ders sidste levetid savidt sorgloes 
nora ,nora og du er ogsa stolt  nar du taenker pa  hvad du har gjort for dine broedre 
not-nora,frulinde det synes jeg  jeg har ret til 
nora ,nora det synes jeg ogsa  men nu skal du hoere noget  kristine  jeg har ogsa noget at vaere stolt og glad over 
not-nora,frulinde det tvivler jeg ikke pa  men hvorledes mener du det 
nora ,nora tal sagte  taenk  om torvald hoerte det  han ma ikke for nogen pris i verden -  der ma ingen fa det at vide  kristine  ingen uden du 
not-nora,frulinde men hvad er det dog 
nora ,nora kom herhen   ja du  - jeg har ogsa noget at vaere stolt og glad over  det er mig  som har reddet torvalds liv 
not-nora,frulinde reddet -  hvorledes reddet 
nora ,nora jeg fortalte dig jo om rejsen til italien  torvald kunde ikke have overstaet det  hvis han ikke var kommen derned -
not-nora,frulinde na ja  din fader gav jer sa de fornoedne penge -
nora ,nora  ja  det tror bade torvald og alle andre  men -
not-nora,frulinde men - 
nora ,nora pappa gav os ikke en skilling  det var mig  som skaffed pengene tilveje 
not-nora,frulinde du  hele den store sum 
nora ,nora tolv hundrede specier  fire tusend otte hundrede kroner  hvad siger du til det 
not-nora,frulinde ja men  nora  hvorledes var det muligt  havde du da vundet i lotteriet 
nora ,nora  i lotteriet   hvad kunst havde det da vaeret 
not-nora,frulinde men hvor fik du dem da fra 
nora ,nora  hm  tra la la la 
not-nora,frulinde for lane dem kunde du jo ikke 
nora ,nora sa  hvorfor ikke det 
not-nora,frulinde nej  en kone kan jo ikke lane uden sin mands samtykke 
nora ,nora  a  nar det er en kone  som har en smule forretningsdygtighed  - en kone  som forstar at baere sig lidt klogt ad  sa -
not-nora,frulinde men  nora  jeg begriber aldeles ikke -
nora ,nora det behoever du jo heller ikke  det er jo slet ikke sagt  at jeg har lant pengene  jeg kan jo have faet dem pa andre mader   jeg kan jo have faet dem af en eller anden beundrer  nar man ser savidt tiltraekkende ud som jeg -
not-nora,frulinde du er en galning 
nora ,nora nu er du visst umadelig nysgaerrig  kristine 
not-nora,frulinde ja hoer nu her  kaere nora  - har du ikke der handlet ubesindigt 
nora ,nora  er det ubesindigt at redde sin mands liv 
not-nora,frulinde jeg synes det er ubesindigt  at du uden hans vidende -
nora ,nora men han matte jo netop ikke vide noget  herregud  kan du ikke forsta det  han matte ikke engang vide  hvor farligt det stod til med ham  det var til mig laegerne kom og sagde  at hans liv stod i fare  at intet andet kunde redde ham  end et ophold i syden  tror du ikke  jeg foerst forsoegte at lirke mig frem  jeg talte til ham om  hvor dejligt det vilde vaere for mig at fa rejse til udlandet ligesom andre unge koner  jeg bade graed og jeg bad  jeg sagde  at han vaersgod skulde huske pa de omstaendigheder  jeg var i  og at han matte vaere snil og foeje mig  og sa slog jeg pa  at han gerne kunde op  tage et lan  men da blev han naesten vred  kristine  han sagde  at jeg var letsindig  og at det var hans pligt som aegtemand ikke at foeje mig i nykker og luner - som jeg tror han kaldte det  ja ja  taenkte jeg  reddes ma du nu  og sa var det jeg gjorde udvej -
not-nora,frulinde og fik din mand ikke vide af din fader  at pengene ikke kom fra ham 
nora ,nora nej  aldrig  pappa doede netop i de samme dage  jeg havde taenkt at indvie ham i sagen og bede ham  ikke roebe noget  men da han la sa syg -  desvaerre  det blev ikke noedvendigt 
not-nora,frulinde og har du aldrig siden betroet dig til din mand 
nora ,nora nej  for himlens skyld  hvor kan du taenke det  han  som er sa straeng i det stykke  og desuden - torvald med sin mandige selvfoelelse  - hvor pinligt og ydmygende vilde det ikke vaere for ham at vide  at han skyldte mig noget  det vilde ganske forrykke forholdet imellem os  vort skoenne lykkelige hjem vilde ikke laenger blive  hvad det nu er 
not-nora,frulinde vil du aldrig sige ham det 
nora ,nora  jo - engang kanske  - om mange ar  nar jeg ikke laenger er sa smuk som nu  du skal ikke le af det  jeg mener naturligvis  nar tor  vald ikke laenger synes sa godt om mig som nu  nar han ikke laenger finder fornoejelse i  at jeg danser for ham og forklaeder mig og deklamerer  da kunde det vaere godt at have noget i bag  handen -  vas  vas  vas  den tid kommer aldrig  - na  hvad siger du sa til min store hemmelighed  kristine  duer ikke jeg ogsa til noget  - du kan forresten tro  at den sag har voldt mig mange bekymringer  det har sandelig ikke vaeret let for mig at opfylde mine forpligtelser til rette tid  jeg skal sige dig  der er i forretningsverdenen noget  som kaldes kvar  talsrenter  og noget  som kaldes afdrag  og de er altid sa forfaerdelig vanskelige at skaffe tilveje  sa har jeg mattet spare lidt hist og her  hvor jeg kunde  ser du  af husholdningspengene kunde jeg jo ikke laegge noget videre tilside  for torvald matte jo leve godt  boernene kunde jeg jo ikke lade ga darligt klaedt  hvad jeg fik til dem syntes jeg  jeg matte bruge altsammen  de soede velsignede sma 
not-nora,frulinde sa gik det vel altsa ud over dine egne for  noedenheder  stakkers nora 
nora ,nora ja naturligvis  jeg var jo ogsa den  som var naermest til det  hvergang torvald gav mig penge til nye kjoler og sadant noget  brugte jeg aldrig mere end det halve  koebte altid de simpleste og billigste sorter  en guds lykke var det  at alting klaeder mig sa godt  sa torvald ikke maerked det  men det faldt mig mangengang tungt  kristine  for det er dog dejligt at ga fint klaedt  ikke sandt 
not-nora,frulinde a jo samaen 
nora ,nora na  sa har jeg jo ogsa havt andre indtaegts  kilder  ifjor vinter var jeg sa heldig at fa en hel del arkskrift  sa lukked jeg mig inde og sad og skrev hver aften til langt ud pa natten  ak  jeg var mangengang sa traet  sa traet  men det var dog uhyre morsomt alligevel  saledes at sidde og arbejde og fortjene penge  det var naesten  som om jeg var en mand 
not-nora,frulinde men hvormeget har du nu pa den vis kunnet afbetale 
nora ,nora ja  det kan jeg ikke sige sa noeje  sadanne forretninger  ser du  er det meget vanskeligt at holde rede pa  jeg ved kun  at jeg har betalt alt  hvad jeg har kunnet skrabe sammen  mangen  gang har jeg ikke vidst mine arme rad   da sad jeg her og forestilled mig  at en gammel rig herre var bleven forelsket i mig -
not-nora,frulinde hvad  hvilken herre 
nora ,nora a snak  - at han nu var doed  og da man abned hans testamente  sa stod deri med store bogstaver <<alle mine penge skal den elskvaerdige fru nora helmer have udbetalt straks kontant>> 
not-nora,frulinde men kaere nora  - hvad var det for en herre 
nora ,nora herregud  kan du ikke forsta det  den gamle herre var jo slet ikke til  det var bare noget  jeg sad her og taenkte op igen og op igen  nar jeg ikke vidste nogen udvej til at skaffe penge  men det kan ogsa vaere det samme  det gamle kedelige menneske kan bli for mig hvor han er  jeg bryr mig hverken om ham eller hans testa  ment  for nu er jeg sorgloes   a gud  det er dog dejligt at taenke pa  kristine  sorg  loes  at kunne vaere sorgloes  ganske sorgloes  at kunne lege og tumle sig med boernene  at kunne have det smukt og nydeligt i huset  alting sa  ledes  som torvald saetter pris pa det  og taenk  sa kommer snart varen med stor bla luft  sa kan vi kanske fa rejse lidt  jeg kan kanske fa se havet igen  a ja  ja  det er rigtignok vid  underligt at leve og vaere lykkelig 
not-nora,fru linde  det ringer  det er kanske bedst jeg gar 
nora ,nora nej  bliv du  her kommer visst ingen  det er vel til torvald -
stuepigen ,stuepigen  om forladelse  frue  - her er en herre  som vil tale med advokaten -
nora ,nora med bankdirektoeren  mener du 
stuepigen ,stuepigen ja  med bankdirektoeren  men jeg vidste ikke - siden doktoren er derinde -
nora ,nora hvem er den herre 
sagfoerer ,sagfoerer krogstad  det er mig  frue 
nora ,nora  de  hvad er det  hvad vil de tale med min mand om 
not-nora,krogstad banksager - pa en made  jeg har en liden post i aktiebanken  og deres mand skal jo nu blive vor chef  hoerer jeg -
nora ,nora det er altsa -
not-nora,krogstad bare toerre forretninger  frue  slet ikke noget andet 
nora ,nora ja  vil de da vaere sa god at ga ind kontor  doeren 
not-nora,frulinde nora  - hvem var den mand 
nora ,nora det var en sagfoerer krogstad 
not-nora,frulinde det var altsa virkelig ham 
nora ,nora kender du det menneske 
not-nora,frulinde jeg har kendt ham - for en del ar siden  han var en tid sagfoererfuldmaegtig henne pa vor kant 
nora ,nora ja  det var han jo 
not-nora,frulinde hvor han var forandret 
nora ,nora han har nok vaeret meget ulykkeligt gift 
not-nora,frulinde nu er han jo enkemand 
nora ,nora med mange boern  se sa  nu braender det 
not-nora,frulinde han driver jo mange slags forretninger  siges der 
nora ,nora sa  ja det kan gerne vaere  jeg ved slet ikke -  men lad os ikke taenke pa forretninger  det er sa kedeligt 
doktor ,doktor rank  nej nej  du  jeg vil ikke forstyrre  jeg vil heller ga lidt ind til din hustru   a om forladelse  jeg forstyrrer nok her ogsa 
nora ,nora nej  pa ingen made   doktor rank  frulinde 
rank ,rank na sa  et navn  som ofte hoeres her i huset  jeg tror  jeg gik fruen forbi pa trappen  da jeg kom 
not-nora,frulinde ja  jeg stiger meget langsomt  jeg kan ikke godt tale det 
rank ,rank aha  en liden smule bedaervet indvendig 
not-nora,frulinde egentlig mere overanstraengt 
rank ,rank ikke andet  sa er de vel kommen til byen for at hvile dem ud i alle gaestebudene 
not-nora,frulinde jeg er kommen hid for at soege arbejde 
rank ,rank skal det vaere noget probat middel imod overanstraengelse 
not-nora,frulinde man ma leve  herr doktor 
rank ,rank ja  det er jo en almindelig mening  at det skal vaere sa noedvendigt 
nora ,nora a ved de hvad  doktor rank  - de vil sa  maen ogsa gerne leve 
rank ,rank ja samaen vil jeg sa  sa elendig jeg end er  vil jeg dog gerne blive ved at pines i det laengste  alle mine patienter har det pa samme vis  og saledes er det med de moralsk angrebne ogsa  der er nu netop i dette oejeblik et sligt moralsk hospitalslem inde hos helmer -
not-nora,fru linde  ah 
nora ,nora hvem mener de 
rank ,rank a  det er en sagfoerer krogstad   et menneske  som de ikke kender noget til  han er bedaervet i karakter roedderne  frue  men selv han begyndteat snakke om  som noget hoejvigtigt  at han matte leve 
nora ,nora sa  hvad var det da han vilde tale med torvald om 
rank ,rank jeg ved sandelig ikke  jeg hoerte blot  det var noget om aktiebanken 
nora ,nora jeg vidste ikke  at krog - at denne sagfoerer krogstad havde noget med aktiebanken at goere 
rank ,rank jo  han har faet et slags ansaettelse dernede   jeg ved ikke  om man ogsa borte pa deres kanter har et slags mennesker  som vimser haesblaesende omkring for at opsnuse moralsk raddenskab og sa fa vedkommende indlagt til observation i en eller anden fordelagtig stilling  de sunde ma pent finde sig i at sta udenfor 
not-nora,frulinde det er dog vel ogsa de syge  som mest traenger til at lukkes ind 
rank ,rank  ja  der har vi det  det er den betragtning  som goer samfundet til et sygehus 
rank ,rank hvorfor ler de af det  ved de egentlig  hvad samfundet er 
nora ,nora hvad bryr jeg mig om det kedelige sam  fund  jeg lo af noget ganske andet  - noget uhyre morsomt  - sig mig  doktor rank  - alle de  som er ansatte i aktiebanken blir altsa nu afhaengige af torvald 
rank ,rank er det det  de finder sa uhyre morsomt 
nora ,nora  lad mig om det  lad mig om det    ja det er rigtignok umadelig for  noejeligt at taenke pa  at vi - at torvald har faet sa megen indflydelse pa mange mennesker   doktor rank  skal det vaere en liden makron 
